31439267,95
90373031,65
29995829,2
71052936,45
66376201,15
34003827,3
83295126,85
54213209,6
23497152,37
31508113,55
23575192,5
97759048,7
31235970,65
93859540,26
76270971,20
52436531,5
23751475,19
47751137,9
30562285,20
54710504,97
42037249,32
19454315,7
91070700,54
18265955,38
78361488,62
44063382,46
69233098,65
42373259,51
88663135,6
26457530,52
25607247,38
96353582,46
64223646,32
86298169,38
71032411,49
21639936,49
49814093,47
93265135,63
22995351,80
36215894,56
81102502,68
42444028,65
20193705,5
39968742,31
80597444,6
55099024,7
37203452,13
98357168,41
16893067,68
22296931,56
15567427,73
93907644,47
52506489,9
33282316,49
18638748,57
97773759,11
66931133,64
77335507,32
76953521,42
14866798,38
23946203,77
80412848,42
92707556,49
68418831,77
14355787,63
72650602,59
77335859,52
24169046,43
79619872,19
64139894,28
36485365,78
27667233,53
78390491,97
49882742,63
42511203,42
93272818,54
74148725,36
94521264,4
60070801,90
26614171,53
24088176,5
64410588,2
70182065,7
35738184,30
81320644,3
91490053,59
29244637,8
80271471,31
83333715,83
97429889,51
34757656,54
28483697,6
86662203,55
23536955,42
83062594,55
98468631,39
77465192,52
47299707,48
16869211,44
92156808,57
